coach_id,first_name,last_name,nick_name,age,date_of_birth,city_of_birth_id,nation_id,weight,height,position,experience,occupation,team_id,former_player_id,quick_left,contract_salary,contract_years,contract_extension_salary,contract_extension_years,scout_major,scout_minor,scout_international,scout_amateur,scout_amateur_preference,teach_hitting,teach_pitching,teach_fielding,handle_veterans,handle_rookies,handle_players,strategy_knowledge,heal_legs,heal_arms,heal_back,heal_other,heal_rest,management_style,personality,hitting_focus,pitching_focus,training_focus,teach_running,prevent_legs,prevent_arms,prevent_back,prevent_other,stealing,running,pinchrun,pinchhit_pos,pinchhit_pitch,hook_start,hook_relief,closer,lr_matchup,bunt_hit,bunt,hit_run,run_hit,squeeze,pitch_around,intentional_walk,hold_runner,guard_lines,infield_in,outfield_in,corners_in,shift_if,shift_of,num_pitchers,num_hitters,favor_speed_to_power,favor_avg_to_obp,favor_defense_to_offense,favor_pitching_to_hitting,favor_veterans_to_prospects,trade_aggressiveness,player_loyalty,trade_frequency,trade_preference,value_stats,value_this_year,value_last_year,value_two_years,draft_value,intl_fa_value,develop_value,ratings_value,manager_value,pitching_coach_value,hitting_coach_value,scout_value,doctor_value,busy,type,data,days_left
60,"Alex","Lopez","",61,"1966-11-22",41750,206,215,194,9,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
61,"Andy","Kertis","",69,"1959-4-11",75703,206,210,186,9,20,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,2,1,0,0,0,0,70,0,0,0,0,0,0,0,0
62,"Nate","Evans","",74,"1954-5-18",43928,206,195,177,9,22,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
63,"James","Maloney","",54,"1974-8-27",20273,206,200,190,1,4,2,0,0,0,0,0,0,0,4,1,13,2,2,127,121,102,81,70,75,0,0,0,0,0,0,1,3,3,2,0,109,0,0,0,0,-1,-1,0,-1,1,0,1,3,0,0,0,-1,1,0,-1,0,-1,0,1,-1,-1,0,0,0,0,-2,3,6,-2,-5,-1,0,0,-1,5,11,3,1,-5,-7,-1,-3,81,110,114,4,0,0,0,0,0
64,"Dylan","Osgood","",54,"1973-11-8",61942,206,215,185,2,11,3,0,0,0,0,0,0,0,11,25,10,37,3,87,59,72,52,77,64,0,0,0,0,0,0,1,2,0,3,0,58,0,0,0,0,1,1,1,0,1,1,1,3,-1,1,0,0,-1,-1,-1,1,1,1,-1,0,0,0,-1,0,0,1,4,4,6,-6,0,1,-1,-1,6,10,3,1,0,0,4,-1,55,60,81,23,0,0,0,0,0
65,"Keith","Stiles","",54,"1974-2-28",57415,206,220,190,3,4,1,0,0,3,0,0,0,0,62,47,53,39,4,56,38,0,29,10,19,0,0,0,0,0,0,0,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,2,1,2,-4,4,2,0,6,10,3,1,2,2,2,2,25,33,47,50,0,0,0,0,0
66,"Colt","Yonts","",41,"1987-2-15",41955,206,190,184,8,1,12,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,88,95,197,153,122,0,1,3,2,2,0,155,34,30,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-4,3,5,-1,-1,3,1,0,5,9,4,2,0,2,1,6,10,0,0,1,119,0,0,0,0
67,"Pedro","Cerrano","",59,"1969-4-20",32267,49,225,195,5,0,5,0,261,0,0,0,0,0,24,31,30,44,0,113,27,9,104,118,111,0,0,0,0,0,0,0,0,3,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,8,3,3,-6,2,-2,0,6,9,4,1,-4,1,0,-6,47,48,113,33,0,0,0,0,0
68,"Jabba","-Dahut-","",52,"1976-1-1",42718,56,225,189,4,0,4,0,139,0,0,0,0,0,15,3,26,8,2,41,115,80,93,93,93,0,0,0,0,0,0,1,2,0,3,0,34,0,0,0,0,1,-1,-1,1,-1,-1,-1,3,0,1,-1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,-2,3,3,1,-4,0,0,-1,-1,6,9,3,2,-4,-8,-9,2,58,110,54,11,0,0,0,0,0
69,"Danny","Garcia","",65,"1963-6-10",15009,206,215,187,9,16,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
70,"Jake","Turman","",54,"1974-4-22",86419,206,215,185,1,3,2,0,0,0,0,0,0,0,21,10,20,16,2,97,97,89,72,86,79,0,0,0,0,0,0,1,2,3,0,0,74,0,0,0,0,-1,1,-1,-1,-1,-1,-1,2,-1,-1,0,-1,-1,0,0,1,1,1,-1,0,1,0,1,0,0,0,-5,-3,2,-2,1,0,1,0,5,8,5,2,4,-2,1,3,68,93,93,17,0,0,0,0,0
71,"Herberto","-Justice-","",45,"1982-11-21",47526,28,223,190,2,0,3,0,110,0,0,0,0,0,9,1,14,0,1,68,84,80,52,63,57,0,0,0,0,0,0,1,2,2,1,0,66,0,0,0,0,0,1,1,0,1,-1,1,3,-1,0,1,-1,1,0,1,1,0,0,-1,-1,0,1,0,0,0,-2,-10,-4,1,-5,0,0,-2,-1,7,9,2,2,1,2,-3,3,57,77,65,5,0,0,0,0,0
72,"Don","Kelly","",48,"1980-2-15",12867,206,215,194,3,0,1,0,232,4,0,0,0,0,62,66,58,60,1,22,29,30,10,9,9,0,0,0,0,0,0,0,3,1,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,5,1,5,1,3,3,0,0,6,10,3,1,-3,0,0,0,23,24,19,62,0,0,0,0,0
73,"Vilson","Gjika","",59,"1969-3-11",22260,206,185,183,8,13,12,0,0,0,0,0,0,0,0,0,5,4,2,0,0,0,0,0,0,0,198,61,12,54,69,0,1,2,3,3,0,180,117,67,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,-3,3,3,0,3,2,0,5,9,3,3,2,0,3,-2,10,0,0,2,102,0,0,0,0
74,"Clark","Canuck","",41,"1987-3-14",71733,36,210,184,5,0,5,0,248,0,0,0,0,0,11,15,2,5,2,96,2,27,78,72,75,0,0,0,0,0,0,0,4,1,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,7,0,2,1,2,0,6,9,4,1,7,-2,0,6,38,20,91,9,0,0,0,0,0
75,"Justin","Scheibel","",42,"1986-2-5",69776,206,225,192,4,1,4,0,0,0,0,0,0,0,9,8,10,8,4,18,63,3,56,71,63,0,0,0,0,0,0,0,2,1,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-4,-1,1,4,7,4,-2,0,5,11,3,1,4,-5,-6,1,31,63,29,9,0,0,0,0,0
76,"Scott","Stevens","",63,"1964-12-21",13117,206,195,189,9,21,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
77,"Rick","Boclair","",50,"1978-3-30",17515,206,195,192,1,5,2,0,0,0,0,0,0,0,4,16,12,11,3,79,108,93,82,89,85,0,0,0,0,0,0,2,2,2,2,0,88,0,0,0,0,-1,2,2,3,2,0,-1,-3,1,-2,-2,-1,-2,-2,0,-2,0,0,1,1,-1,3,2,0,0,-3,-3,5,-5,4,2,5,1,0,4,11,3,2,3,-2,3,4,70,102,81,10,0,0,0,0,0
78,"Tony","-Alvarado-","",46,"1981-10-18",71432,56,206,184,2,0,3,0,150,0,0,0,0,0,3,24,0,18,2,93,52,71,66,66,66,0,0,0,0,0,0,1,2,3,3,0,68,0,0,0,0,0,-1,1,1,1,0,-1,3,-1,0,1,0,-1,0,1,0,1,1,-1,1,-1,0,0,0,0,-4,0,1,2,-5,-1,0,-2,-1,7,10,2,1,-5,0,-1,0,57,56,86,12,0,0,0,0,0
79,"Phil","King","",57,"1971-7-28",72460,206,215,190,3,12,1,0,0,4,0,0,0,0,51,66,43,65,4,5,30,26,21,22,21,0,0,0,0,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,-4,-2,2,-6,3,-1,0,6,10,2,2,7,-5,0,-1,21,28,9,58,0,0,0,0,0
80,"Guillermo","D'Urso","",50,"1978-9-22",69887,210,205,193,8,8,12,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,117,109,197,100,200,0,3,1,3,2,0,46,144,94,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,2,2,-2,4,0,1,0,7,10,3,0,-7,-1,1,-1,10,0,0,1,125,0,0,0,0
81,"Ronnie","Hugunin","",50,"1978-9-1",59745,206,200,192,5,1,5,0,0,0,0,0,0,0,20,14,26,17,1,78,1,27,77,75,76,0,0,0,0,0,0,0,2,3,3,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-3,5,10,4,-5,2,-1,0,5,9,5,1,-2,5,-2,-6,38,20,78,18,0,0,0,0,0
82,"Chris","Barnes","",62,"1966-8-29",13641,206,210,200,4,11,4,0,0,0,0,0,0,0,16,9,10,6,4,36,96,31,112,115,113,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,-4,-1,1,-6,2,0,0,8,10,2,0,7,-1,1,-1,47,100,55,10,0,0,0,0,0
83,"Erik","Bennett","",60,"1967-12-24",1800,206,220,198,9,16,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
84,"Chris","Seguin","",70,"1957-11-27",20170,206,195,191,9,31,13,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
85,"Joe","Beltre","",68,"1960-4-6",63282,206,215,192,9,22,13,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
86,"Chad","Powers","",70,"1958-2-10",13980,206,220,184,9,27,13,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
87,"George","Ayers","",58,"1969-9-30",43364,206,190,186,9,15,13,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
88,"Jonathan","-Paxtor-","",52,"1976-5-8",71432,56,226,192,1,0,2,0,143,0,0,0,0,0,3,18,4,24,2,106,86,108,117,110,113,0,0,0,0,0,0,1,4,1,3,0,112,0,0,0,0,0,1,0,-1,0,1,-1,2,-1,-1,0,1,1,0,-1,0,-1,-1,-1,1,0,0,1,0,0,-1,0,4,-4,-4,-5,0,-2,-1,4,11,3,2,5,-4,3,-5,80,93,108,13,0,0,0,0,0
89,"Sean","Hutcheson","",55,"1973-8-30",58739,206,205,182,9,17,13,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
90,"Bill","Mirsky","",54,"1974-3-10",32688,206,205,188,9,12,13,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
